"","Keratinocyte","TSK","Melanocyte"
"spot 486",1,0,0
"spot 487",0.6868,0.3132,0
"spot 488",0.4259,0.5335,0.0406
"spot 489",0.5164,0.3571,0.1265
"spot 490",0.7298,0.2702,0
"spot 491",0.9238,0.0762,0
"spot 492",1,0,0
"spot 493",1,0,0
"spot 494",0.9558,0,0.0442
"spot 495",0.8132,0.1868,0
"spot 496",0.5834,0.4166,0
"spot 497",0.8331,0.1294,0.0375
"spot 498",0.5104,0.4896,0
"spot 499",0.649,0.351,0
"spot 500",0.5713,0.4287,0
"spot 501",1,0,0
"spot 502",0.7221,0.2779,0
"spot 503",0.7486,0.2514,0
"spot 504",0.7114,0.2886,0
"spot 505",1,0,0
"spot 506",1,0,0
"spot 507",0.8527,0.1473,0
"spot 508",0.6317,0.2304,0.1379
"spot 509",0.8515,0.1485,0
"spot 510",0.6997,0.3003,0
"spot 511",1,0,0
"spot 512",0.9749,0,0.0251
"spot 513",0.7524,0.2476,0
"spot 514",0.584,0.416,0
"spot 515",1,0,0
"spot 516",0.9494,0.0506,0
"spot 517",1,0,0
"spot 518",1,0,0
"spot 519",0.9476,0.0524,0
"spot 520",0.6243,0.3757,0
"spot 521",0.6246,0.3098,0.0656
"spot 522",0.5755,0.4245,0
"spot 523",0.1673,0.6363,0.1964
"spot 524",0.7496,0.2504,0
"spot 525",0.742,0.258,0
"spot 526",0.6968,0.1635,0.1397
"spot 527",0.7469,0.2531,0
"spot 528",0.8519,0.1481,0
"spot 529",0.9468,0.0532,0
"spot 530",0.56,0.3538,0.0862
"spot 531",1,0,0
"spot 532",1,0,0
"spot 533",1,0,0
"spot 534",0.9993,7e-04,0
"spot 535",1,0,0
"spot 536",0.812,0.188,0
"spot 537",0.9204,0.0796,0
"spot 538",0.964,0,0.036
"spot 539",0.974,0.026,0
"spot 540",0.8619,0.1381,0
"spot 541",0.4597,0.4672,0.0731
"spot 542",0.9318,0.0682,0
"spot 543",0.9921,0.0079,0
"spot 544",1,0,0
"spot 545",0.9783,0.0217,0
"spot 546",0.9209,0.0791,0
"spot 547",0.8742,0.1258,0
"spot 548",0.9197,0.0803,0
"spot 549",0.4085,0.5567,0.0348
"spot 550",0.2366,0.7634,0
"spot 551",0.9748,0.0252,0
"spot 552",0.4591,0.0671,0.4738
"spot 553",0.9485,0.0515,0
"spot 554",0.7974,0.2026,0
"spot 555",0.753,0.247,0
"spot 556",1,0,0
"spot 557",1,0,0
"spot 558",0.6729,0.3271,0
"spot 559",1,0,0
"spot 560",0.9879,0,0.0121
"spot 561",0.8041,0.1602,0.0357
"spot 562",0.7823,0,0.2177
"spot 563",0.9793,0.0207,0
"spot 564",0.6369,0.3631,0
"spot 565",0.3072,0.4845,0.2082
"spot 566",0.8677,0.1323,0
"spot 567",0.7645,0.2355,0
"spot 568",1,0,0
"spot 569",1,0,0
"spot 570",1,0,0
"spot 571",1,0,0
"spot 572",0.9399,0,0.0601
"spot 573",0.8736,0.1264,0
"spot 574",0.6468,0.3532,0
"spot 575",1,0,0
"spot 576",0.8144,0.1776,0.008
"spot 577",0.7227,0,0.2773
"spot 578",0.8923,0,0.1077
"spot 579",1,0,0
"spot 580",0.7635,0.2365,0
"spot 581",1,0,0
"spot 582",1,0,0
"spot 583",0.9592,0.0408,0
"spot 584",0.678,0.322,0
"spot 585",0.8266,0.1443,0.0291
"spot 586",1,0,0
"spot 587",1,0,0
"spot 588",1,0,0
"spot 589",0.9272,0.0728,0
"spot 590",0.3614,0.4625,0.1761
"spot 591",1,0,0
"spot 592",0.6562,0.3438,0
"spot 593",1,0,0
"spot 594",1,0,0
"spot 595",0.6749,0.3251,0
"spot 596",0.9496,0.0504,0
"spot 597",1,0,0
"spot 598",0.6464,0.3536,0
"spot 599",0.8142,0.1858,0
"spot 600",0.78,0.0482,0.1718
"spot 601",0.9047,0.0953,0
"spot 602",1,0,0
"spot 603",0.7613,0.2387,0
"spot 604",0.7617,0.1726,0.0657
"spot 605",1,0,0
"spot 606",0.9238,0.0762,0
"spot 607",0.6937,0.3063,0
"spot 608",1,0,0
"spot 609",0.8378,0.1622,0
"spot 610",0.8144,0.1856,0
"spot 611",0.8165,0.1835,0
"spot 612",1,0,0
"spot 613",0.5403,0.3216,0.138
"spot 614",0.9688,0.0312,0
"spot 615",0.8955,0.1045,0
"spot 616",1,0,0
"spot 617",1,0,0
"spot 618",1,0,0
"spot 619",0.7742,0.2258,0
"spot 620",0.8486,0.1514,0
"spot 621",0.9325,0,0.0675
"spot 622",0.8556,0.1444,0
"spot 623",0.8723,0.1277,0
"spot 624",0.9908,0,0.0092
"spot 625",0.6417,0.3583,0
"spot 626",0.5017,0.4983,0
"spot 627",1,0,0
"spot 628",0.6466,0.3534,0
"spot 629",0.5197,0.4803,0
"spot 630",0.9943,0,0.0057
"spot 631",0.6544,0.3456,0
"spot 632",0.9288,0.0712,0
"spot 633",1,0,0
"spot 634",0.8607,0.1393,0
"spot 635",0.6525,0.3475,0
"spot 636",1,0,0
"spot 637",1,0,0
"spot 638",1,0,0
"spot 639",0.5537,0.1368,0.3096
"spot 640",0.9182,0.0818,0
"spot 641",0.9593,0.0407,0
"spot 642",0.7576,0.2424,0
"spot 643",0.9144,0.0856,0
"spot 644",0.8863,0.1137,0
"spot 645",1,0,0
"spot 646",0.3735,0.6265,0
"spot 647",0.7591,0.2409,0
"spot 648",0.5554,0.2665,0.1781
"spot 649",0.7288,0.2712,0
"spot 650",0.602,0.398,0
"spot 651",0.7611,0.2389,0
"spot 652",1,0,0
"spot 653",0.4581,0.5419,0
"spot 654",1,0,0
"spot 655",0.7145,0.2855,0
"spot 656",0.7012,0.2988,0
"spot 657",1,0,0
"spot 658",0.7932,0.2068,0
"spot 659",1,0,0
"spot 660",0.8813,0.1187,0
"spot 661",1,0,0
"spot 662",0.3794,0.5024,0.1182
"spot 663",1,0,0
"spot 664",0.9616,0.0384,0
"spot 665",0.7528,0.2472,0
"spot 666",0.9619,0.0381,0
"spot 667",0.6153,0.3847,0
"spot 668",1,0,0
"spot 669",1,0,0
"spot 670",0.4859,0.5141,0
"spot 671",0.696,0.304,0
"spot 672",0.4542,0.392,0.1538
"spot 673",0.8432,0.1065,0.0503
"spot 674",0.5314,0.4686,0
"spot 675",1,0,0
"spot 676",0.6735,0.3265,0
"spot 677",0.7917,0.2083,0
"spot 678",0.6808,0.1272,0.192
"spot 679",0.7107,0.2893,0
"spot 680",0.7378,0.2622,0
"spot 681",1,0,0
"spot 682",1,0,0
"spot 683",1,0,0
"spot 684",1,0,0
