"","Keratinocyte","TSK","Melanocyte"
"spot 880",0.7327,0.2673,0
"spot 881",1,0,0
"spot 882",1,0,0
"spot 883",0.5627,0.4373,0
"spot 884",0.6709,0.3291,0
"spot 885",0.7558,0.2442,0
"spot 886",1,0,0
"spot 887",0.5439,0.4561,0
"spot 888",1,0,0
"spot 889",0.6154,0.3173,0.0674
"spot 890",1,0,0
"spot 891",0.6053,0.3947,0
"spot 892",0.5518,0.3676,0.0807
"spot 893",1,0,0
"spot 894",0.5784,0.4216,0
"spot 895",0.5941,0.2084,0.1975
"spot 896",0.9497,0,0.0503
"spot 897",0.3228,0.6772,0
"spot 898",1,0,0
"spot 899",0.6271,0.3729,0
"spot 900",1,0,0
"spot 901",0.6456,0.1386,0.2158
"spot 902",0.9985,0,0.0015
"spot 903",0.9582,0.0111,0.0307
"spot 904",0.5244,0.4756,0
"spot 905",0.4223,0.4816,0.0962
"spot 906",0.809,0.191,0
"spot 907",0.9041,0.0959,0
"spot 908",0.9421,0.0579,0
"spot 909",1,0,0
"spot 910",1,0,0
"spot 911",0.893,0,0.107
"spot 912",0.8613,0,0.1387
"spot 913",0.7316,0,0.2684
"spot 914",0.5978,0.4022,0
"spot 915",1,0,0
"spot 916",0.7434,0.2566,0
"spot 917",1,0,0
"spot 918",0.6721,0.3279,0
"spot 919",1,0,0
"spot 920",0.905,0.095,0
"spot 921",0.504,0.4156,0.0805
"spot 922",0.8504,0.1496,0
"spot 923",0.7094,0.2344,0.0562
"spot 924",1,0,0
"spot 925",1,0,0
"spot 926",0.6026,0.0191,0.3783
"spot 927",0.6906,0.2683,0.0411
"spot 928",1,0,0
"spot 929",0.1087,0.8913,0
"spot 930",0.8188,0,0.1812
"spot 932",0.9666,0,0.0334
"spot 933",0.5926,0.3,0.1074
"spot 934",0.9963,0,0.0037
"spot 935",0.2078,0.7922,0
"spot 937",0.5762,0.4238,0
"spot 938",1,0,0
"spot 939",0.7936,0.2058,6e-04
"spot 940",1,0,0
"spot 941",0.7478,0.089,0.1632
"spot 942",1,0,0
"spot 943",0.7169,0.2691,0.014
"spot 944",0.8847,0.1153,0
"spot 945",1,0,0
"spot 946",1,0,0
"spot 947",1,0,0
"spot 948",1,0,0
"spot 949",1,0,0
"spot 950",0.5845,0.4155,0
"spot 951",0.7831,0.2169,0
"spot 952",0.3234,0.6766,0
"spot 953",0,1,0
"spot 954",0.8153,0.1847,0
"spot 955",0.4564,0.2749,0.2687
"spot 956",0.3876,0.6124,0
"spot 957",1,0,0
"spot 958",0.8332,0.1599,0.0069
"spot 959",0.3573,0.6427,0
"spot 960",0.8488,0,0.1512
"spot 961",0.5178,0.4822,0
"spot 962",0.8283,0,0.1717
"spot 963",0.9914,0,0.0086
"spot 964",0.9998,0,2e-04
"spot 965",1,0,0
"spot 966",0.2494,0.7506,0
"spot 967",0.9712,0.0288,0
"spot 968",0.8388,0.1612,0
"spot 969",0.8227,0.1773,0
"spot 970",0.7102,0.178,0.1117
"spot 971",0.6773,0,0.3227
"spot 972",1,0,0
"spot 973",0.7867,0.2133,0
"spot 974",0.8304,0.1696,0
"spot 975",0.8409,0.0344,0.1247
"spot 976",1,0,0
"spot 977",0.9791,0.0209,0
"spot 978",0,1,0
"spot 979",0.7157,0.2843,0
"spot 980",0.201,0.6563,0.1427
"spot 981",0.9123,0.0877,0
"spot 984",0.8169,0.1831,0
"spot 985",0.6956,0.3044,0
"spot 986",0.5186,0.4814,0
"spot 987",0.7475,0.2525,0
"spot 988",0.4166,0.5834,0
"spot 989",0.5564,0.4436,0
"spot 990",0.7288,0,0.2712
"spot 991",0.5997,0.4003,0
"spot 992",0.8854,0.1146,0
"spot 993",0.4864,0.5136,0
"spot 994",0.8935,0.1065,0
"spot 995",0.5145,0.1599,0.3256
"spot 996",0.9542,0.0458,0
"spot 997",0.8321,0.1679,0
"spot 998",0.5178,0.4042,0.078
"spot 999",0.6543,0.3457,0
"spot 1000",0.8683,0.0331,0.0986
"spot 1001",0.6151,0.3849,0
"spot 1002",1,0,0
"spot 1003",1,0,0
"spot 1004",0.8166,0.1834,0
"spot 1005",0.4128,0.3346,0.2526
"spot 1006",0.4441,0.5559,0
"spot 1008",1,0,0
"spot 1009",0.7135,0.2865,0
"spot 1010",1,0,0
"spot 1011",0.122,0.878,0
"spot 1012",0.6427,0.3573,0
"spot 1013",0.9757,0.0243,0
"spot 1014",0.5761,0.4239,0
"spot 1015",0.477,0.523,0
"spot 1016",1,0,0
"spot 1017",0.7065,0.2935,0
"spot 1018",0.6527,0,0.3473
"spot 1019",0.8413,0.1587,0
"spot 1020",0.893,0,0.107
"spot 1021",0.9379,0,0.0621
"spot 1022",0.9747,0.0253,0
"spot 1023",0.8859,0,0.1141
"spot 1024",0.3799,0.6201,0
"spot 1025",0.7544,0.2456,0
"spot 1026",0.1549,0.7721,0.073
"spot 1027",0.7148,0.2852,0
"spot 1028",0.3669,0.6331,0
"spot 1029",0.6307,0.3693,0
"spot 1030",0.6357,0.3643,0
"spot 1031",0.6185,0.3815,0
"spot 1032",0.8147,0.0788,0.1065
"spot 1033",0.7786,0.2214,0
"spot 1035",0.3834,0.2229,0.3937
"spot 1036",1,0,0
"spot 1037",0.6092,0.1535,0.2374
"spot 1038",0.4032,0.4578,0.139
"spot 1039",0.6275,0,0.3725
"spot 1040",0.9477,0,0.0523
"spot 1041",0.691,0.309,0
"spot 1042",0.7126,0.0854,0.202
"spot 1043",0.5855,0.3695,0.045
"spot 1044",0.3525,0.584,0.0635
"spot 1045",0.9475,0,0.0525
"spot 1046",1,0,0
"spot 1047",0.4459,0.4364,0.1177
"spot 1048",0.8322,0.1028,0.065
"spot 1049",0.4603,0.501,0.0386
"spot 1050",0.3584,0.6416,0
"spot 1051",1,0,0
"spot 1052",0.662,0.338,0
"spot 1054",0.3397,0.6603,0
"spot 1055",0.5832,0.4168,0
"spot 1056",0.3118,0.6882,0
"spot 1057",0.5286,0.4714,0
"spot 1058",0,1,0
"spot 1059",0.7314,0.2686,0
"spot 1060",0.8331,0.1669,0
"spot 1061",0.9471,0.0529,0
"spot 1062",1,0,0
"spot 1063",0.5771,0.2685,0.1543
"spot 1064",0.8014,0.1986,0
"spot 1065",0.9738,0.0262,0
"spot 1066",0.6445,0.3555,0
"spot 1067",0.8167,0.1833,0
"spot 1068",0.31,0.69,0
"spot 1069",0.499,0.501,0
"spot 1070",0.8882,0,0.1118
"spot 1071",0.4392,0.5608,0
"spot 1072",1,0,0
"spot 1073",0.2156,0.7844,0
"spot 1074",1,0,0
"spot 1075",0.3824,0.6176,0
"spot 1076",0.6597,0.3403,0
"spot 1078",0.9407,0.0593,0
"spot 1079",0.3296,0.6704,0
"spot 1080",0.4609,0.5391,0
"spot 1081",0.7217,0,0.2783
"spot 1082",0.379,0.621,0
"spot 1083",0.0963,0.9037,0
"spot 1084",1,0,0
"spot 1086",0.6504,0.3496,0
"spot 1087",0.743,0.257,0
"spot 1088",0.6455,0.3195,0.0349
"spot 1089",0.9305,0.025,0.0446
"spot 1090",1,0,0
"spot 1091",1,0,0
"spot 1092",0.4517,0.5483,0
"spot 1093",1,0,0
"spot 1094",0.9313,0.0687,0
"spot 1095",0.4949,0.5051,0
"spot 1096",0.9269,0,0.0731
"spot 1097",0.6243,0.1416,0.2341
"spot 1098",0.8378,0,0.1622
"spot 1099",0.9441,0.0559,0
"spot 1100",0.411,0.5773,0.0117
"spot 1101",1,0,0
"spot 1102",0.7144,0.2856,0
"spot 1103",0.7742,0.2258,0
"spot 1104",0.6188,0.3812,0
"spot 1105",0.4428,0.5572,0
"spot 1106",0.1823,0.8177,0
"spot 1108",0.744,0.2539,0.0021
"spot 1109",0.8525,0.1379,0.0096
"spot 1110",0.9716,0.0284,0
"spot 1111",0.9488,0,0.0512
"spot 1112",0.534,0.466,0
"spot 1113",0.5818,0.4182,0
"spot 1114",0.8336,0.1664,0
"spot 1115",1,0,0
"spot 1116",0.7548,0.2452,0
"spot 1117",0.4073,0.5927,0
"spot 1118",0.5746,0.4254,0
"spot 1119",0.7918,0.2082,0
"spot 1120",1,0,0
"spot 1121",0.231,0.769,0
"spot 1122",1,0,0
"spot 1123",0.3584,0.6416,0
"spot 1124",0.6573,0.1911,0.1516
"spot 1125",0.7296,0.2704,0
"spot 1129",0.3894,0.6106,0
"spot 1130",0.6518,0.3482,0
"spot 1131",1,0,0
"spot 1132",0.6336,0.3664,0
"spot 1133",0.9616,0,0.0384
"spot 1134",0.8423,0.1577,0
"spot 1135",1,0,0
"spot 1136",1,0,0
"spot 1137",1,0,0
"spot 1138",0.5643,0.4357,0
"spot 1139",1,0,0
"spot 1140",0.2608,0.599,0.1402
"spot 1141",0.5446,0.4554,0
"spot 1142",0.8406,0.1594,0
"spot 1143",0.9206,0,0.0794
"spot 1144",0.7669,0.2331,0
"spot 1145",0.1119,0.8881,0
"spot 1149",0.4829,0.5171,0
"spot 1150",0.8497,0.1503,0
"spot 1151",1,0,0
"spot 1152",0.7616,0.2384,0
"spot 1153",0.7005,0.2995,0
"spot 1154",1,0,0
"spot 1155",1,0,0
"spot 1156",0.7299,0.2701,0
"spot 1157",1,0,0
"spot 1158",0.4255,0.2677,0.3068
"spot 1159",1,0,0
"spot 1160",0.4038,0.5962,0
"spot 1161",1,0,0
"spot 1162",0.416,0.584,0
"spot 1163",0.7989,0.2011,0
"spot 1164",0.6803,0.236,0.0837
"spot 1165",0.9203,0.0797,0
"spot 1166",0.9008,0.0992,0
"spot 1167",0.8052,0.1948,0
"spot 1168",0.7522,0.1042,0.1437
"spot 1169",0.8056,0.1944,0
"spot 1170",0.8654,0.1346,0
"spot 1171",0.3445,0.6555,0
"spot 1172",0.5536,0.4464,0
"spot 1173",0.7223,0.2405,0.0372
"spot 1174",0.803,0.197,0
"spot 1175",0.7514,0,0.2486
"spot 1176",0.5633,0.4142,0.0225
"spot 1177",0.434,0.566,0
"spot 1178",0.5842,0.4158,0
"spot 1179",0.1673,0.6489,0.1838
"spot 1180",0.1967,0.7878,0.0155
"spot 1181",0.2059,0.7941,0
"spot 1182",0.5497,0.4503,0
