"","Keratinocyte","TSK","Melanocyte"
"spot 848",0.5444,0.4556,0
"spot 849",0.9679,0.0321,0
"spot 850",0.8932,0.1068,0
"spot 851",0.4388,0.5612,0
"spot 852",0.8061,0.1939,0
"spot 853",0.5973,0.4027,0
"spot 854",0.7811,0.2189,0
"spot 855",1,0,0
"spot 856",1,0,0
"spot 857",1,0,0
"spot 858",0.8167,0.1833,0
"spot 859",0.5242,0.4758,0
"spot 860",0.5374,0.4626,0
"spot 861",0.9172,0.0828,0
"spot 862",0.8778,0.1222,0
"spot 863",0.3599,0.6401,0
"spot 864",0.5809,0.4191,0
"spot 865",0.8637,0.1363,0
"spot 866",0.5502,0.4498,0
"spot 867",0.5457,0.4543,0
"spot 868",0.9055,0.0945,0
"spot 869",0.2714,0.7286,0
"spot 870",1,0,0
"spot 871",0.5685,0.4315,0
"spot 872",1,0,0
"spot 873",0.5554,0.4446,0
"spot 874",0.784,0.216,0
"spot 875",0.7047,0.2953,0
"spot 876",0.9806,0.0194,0
"spot 877",0.7586,0.2414,0
"spot 878",0.592,0.408,0
"spot 879",0.6818,0.3182,0
"spot 880",1,0,0
"spot 881",0.8782,0.1218,0
"spot 882",0.7512,0.2488,0
"spot 883",0.8473,0.1204,0.0323
"spot 884",0.4152,0.5848,0
"spot 885",0.7578,0.2422,0
"spot 886",0.9249,0.0751,0
"spot 887",0.6395,0.3605,0
"spot 888",0.7481,0.2519,0
"spot 889",0.7921,0.0595,0.1485
"spot 890",1,0,0
"spot 891",0.6306,0.3694,0
"spot 892",0.632,0.368,0
"spot 893",1,0,0
"spot 894",0.8583,0.1417,0
"spot 895",0.6129,0.3024,0.0847
"spot 896",1,0,0
"spot 897",0.7645,0.2355,0
"spot 898",1,0,0
"spot 899",0.6869,0.3131,0
"spot 900",0.7661,0.2339,0
"spot 901",0.7182,0.2818,0
"spot 902",0.5604,0.4396,0
"spot 903",0.831,0.169,0
"spot 904",1,0,0
"spot 905",0.4249,0.5224,0.0527
"spot 906",1,0,0
"spot 907",0.6899,0.3101,0
"spot 908",0.8555,0.1445,0
"spot 909",0.8572,0.1428,0
"spot 910",0.6523,0.3477,0
"spot 911",0.9496,0.0504,0
"spot 912",0.6824,0.0911,0.2265
"spot 913",0.4772,0.5228,0
"spot 914",0.9964,0.0036,0
"spot 915",0.7827,0.2173,0
"spot 916",0.6873,0.3127,0
"spot 917",0.9993,0,7e-04
"spot 918",0.695,0.305,0
"spot 919",0.7686,0.2314,0
"spot 920",0.6972,0.3028,0
"spot 921",1,0,0
"spot 922",1,0,0
"spot 923",0.5651,0.4349,0
"spot 924",0.89,0.11,0
"spot 925",0.6161,0.3839,0
"spot 926",1,0,0
"spot 927",0.8502,0.1498,0
"spot 928",1,0,0
"spot 929",1,0,0
"spot 930",1,0,0
"spot 931",0.738,0.262,0
"spot 932",0.8294,0,0.1706
"spot 933",1,0,0
"spot 934",1,0,0
"spot 935",0.6985,0.3015,0
"spot 936",0.5259,0.4741,0
"spot 937",0.7693,0.2307,0
"spot 938",1,0,0
"spot 939",0.3369,0.4919,0.1712
"spot 940",0.9445,0.0555,0
"spot 941",0.7189,0.2811,0
"spot 942",0.9075,0,0.0925
"spot 943",0.5897,0.4103,0
"spot 944",0.3457,0.6543,0
"spot 945",0.7864,0.2136,0
"spot 946",1,0,0
"spot 947",1,0,0
"spot 948",0.9571,0.0429,0
"spot 949",0.595,0.405,0
"spot 950",0.4627,0.5373,0
"spot 951",1,0,0
"spot 952",0.2014,0.7986,0
"spot 953",0.9065,0,0.0935
"spot 954",0.6206,0.3794,0
"spot 955",0.9292,0.0708,0
"spot 956",0.9714,0.0286,0
"spot 957",1,0,0
"spot 958",1,0,0
"spot 959",0.9088,0.0912,0
"spot 960",0.9138,0.0862,0
"spot 961",0.8623,0,0.1377
"spot 962",0.5134,0.4866,0
"spot 963",0.5331,0.4136,0.0534
"spot 964",0.5567,0.4433,0
"spot 965",1,0,0
"spot 966",0.6177,0.3823,0
"spot 967",0.9121,0.0879,0
"spot 968",0.7539,0.2461,0
"spot 969",1,0,0
"spot 970",0.4386,0.5614,0
"spot 971",0.9584,0.0416,0
"spot 972",0.8423,0.1577,0
"spot 973",0.6474,0.3526,0
"spot 974",1,0,0
"spot 975",1,0,0
"spot 976",0.9455,0.0545,0
"spot 977",1,0,0
"spot 978",0.9858,0.0142,0
"spot 979",0.726,0.274,0
"spot 980",0.8752,0.1061,0.0187
"spot 981",1,0,0
"spot 982",0.7934,0.2066,0
"spot 983",1,0,0
"spot 984",0.7795,0,0.2205
"spot 985",0.7816,0.2184,0
"spot 986",1,0,0
"spot 987",0.7263,0.2737,0
"spot 988",0.8088,0.1912,0
"spot 989",0.4587,0.5413,0
"spot 990",0.8204,0.1598,0.0198
"spot 991",1,0,0
"spot 992",0.4957,0.5043,0
"spot 993",0.491,0.509,0
"spot 994",0.7624,0.2376,0
"spot 995",0.6612,0.2438,0.095
"spot 996",0.5518,0.399,0.0492
"spot 997",0.6428,0.3572,0
"spot 998",0.7523,0.2477,0
"spot 999",1,0,0
"spot 1000",1,0,0
"spot 1001",0.5823,0.4177,0
"spot 1002",1,0,0
"spot 1003",0.9476,0.0524,0
"spot 1004",0.5492,0.4508,0
"spot 1005",0.8094,0.1906,0
"spot 1006",0.9091,0.0909,0
"spot 1007",0.8678,0.1322,0
"spot 1008",0.9517,0.0483,0
"spot 1009",1,0,0
"spot 1010",0.808,0.192,0
"spot 1011",0.5625,0.4375,0
"spot 1012",0.8388,0.1612,0
"spot 1013",0.5604,0.4396,0
"spot 1014",1,0,0
"spot 1015",0.6188,0.3812,0
"spot 1016",0.6016,0.3984,0
"spot 1017",0.9552,0.0448,0
"spot 1018",1,0,0
"spot 1019",0.4275,0.5725,0
"spot 1020",0.7771,0.2229,0
"spot 1021",0.4072,0.5928,0
"spot 1022",0.4901,0.5099,0
"spot 1023",0.8779,0.1221,0
"spot 1024",0.6967,0.3033,0
"spot 1025",0.7305,0.1111,0.1584
"spot 1026",1,0,0
"spot 1027",1,0,0
"spot 1028",1,0,0
"spot 1029",0.8706,0.1294,0
"spot 1030",0.9479,0.0521,0
"spot 1031",0.4454,0.5546,0
"spot 1032",1,0,0
"spot 1033",1,0,0
"spot 1034",1,0,0
"spot 1035",1,0,0
"spot 1036",1,0,0
"spot 1037",0.3945,0.6055,0
"spot 1038",1,0,0
"spot 1039",1,0,0
"spot 1040",0.9297,0.0703,0
"spot 1041",1,0,0
"spot 1042",0.7116,0.2884,0
"spot 1043",0.6657,0.2321,0.1022
"spot 1044",0.5318,0.4682,0
"spot 1045",0.6781,0.3219,0
"spot 1046",0.6596,0.3404,0
"spot 1047",0.3356,0.3582,0.3063
"spot 1048",0.6363,0.3637,0
"spot 1049",0.8912,0.108,8e-04
"spot 1051",0.6738,0.3262,0
"spot 1052",0.9761,0,0.0239
"spot 1053",1,0,0
"spot 1054",0.5602,0.4302,0.0096
"spot 1055",0.924,0.076,0
"spot 1056",0.7385,0.2615,0
"spot 1057",1,0,0
"spot 1058",0.8796,0.1204,0
"spot 1059",0.771,0.229,0
"spot 1060",0.7662,0.2338,0
"spot 1061",0.8691,0.1309,0
"spot 1062",0.7062,0.2938,0
"spot 1063",1,0,0
"spot 1064",0.5825,0.4175,0
"spot 1065",0.9906,0,0.0094
"spot 1066",0.8237,0.1763,0
"spot 1067",0.5619,0.4381,0
"spot 1068",0.9048,0.0307,0.0645
"spot 1069",0.9147,0.0853,0
"spot 1070",1,0,0
"spot 1071",0.5729,0.4271,0
"spot 1072",0.7405,0.2595,0
"spot 1073",1,0,0
"spot 1074",0.5939,0.4061,0
"spot 1075",0.648,0.352,0
"spot 1076",0.9914,0.0086,0
"spot 1077",0.7236,0.2407,0.0357
"spot 1078",0.8485,0.1328,0.0188
"spot 1079",0.6309,0.3691,0
"spot 1080",0.9839,0.0161,0
"spot 1081",0.9802,0.0198,0
"spot 1082",1,0,0
"spot 1083",1,0,0
"spot 1084",0.6481,0.3519,0
"spot 1085",0.8328,0.0818,0.0854
"spot 1086",0.6702,0.3298,0
"spot 1087",0.7959,0.0594,0.1447
"spot 1088",0.8595,0.1405,0
"spot 1089",0.6985,0.3015,0
"spot 1090",1,0,0
"spot 1091",0.7798,0,0.2202
"spot 1092",1,0,0
"spot 1093",0.601,0.399,0
"spot 1094",0.7949,0.2051,0
"spot 1095",1,0,0
"spot 1096",1,0,0
"spot 1097",0.6154,0.3846,0
"spot 1098",1,0,0
"spot 1099",0.8766,0.1234,0
"spot 1100",0.6757,0.1674,0.1568
"spot 1101",1,0,0
"spot 1102",0.9075,0.0925,0
"spot 1103",0.7423,0.2577,0
"spot 1104",0.921,0.079,0
"spot 1105",1,0,0
"spot 1106",0.8096,0.1904,0
"spot 1107",0.5533,0.4467,0
"spot 1108",1,0,0
"spot 1109",0.6617,0.288,0.0503
"spot 1110",0.6558,0.3442,0
"spot 1111",0.7915,0.2085,0
"spot 1112",1,0,0
"spot 1113",0.9192,0.0808,0
"spot 1114",0.7324,0.2676,0
"spot 1115",0.961,0,0.039
"spot 1116",0.9391,0.0609,0
"spot 1117",1,0,0
"spot 1118",0.7918,0.2082,0
"spot 1119",0.9778,0,0.0222
"spot 1120",1,0,0
"spot 1121",0.6309,0.3691,0
"spot 1122",1,0,0
"spot 1123",0.9785,0,0.0215
"spot 1124",0.567,0.3754,0.0576
"spot 1125",0.8313,0.1687,0
"spot 1126",1,0,0
"spot 1127",1,0,0
"spot 1128",1,0,0
"spot 1129",1,0,0
"spot 1130",0.9008,0.0992,0
"spot 1131",1,0,0
"spot 1132",1,0,0
"spot 1133",0.8494,0.1506,0
"spot 1134",0.7411,0.2589,0
"spot 1135",0.7869,0.2131,0
"spot 1136",0.7243,0.2757,0
"spot 1137",0.5865,0.4135,0
"spot 1138",0.6684,0.1526,0.179
"spot 1139",1,0,0
"spot 1140",0.9352,0,0.0648
"spot 1141",0.6826,0.3174,0
"spot 1142",0.883,0.117,0
"spot 1143",0.9226,0.0495,0.0279
"spot 1144",0.7329,0.2671,0
"spot 1145",0.9911,0.0089,0
